PROJECT LAYOUT REPORT
════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
Module                         | Struct/Enum/Type          | Trait                | Impl            | Function                                                               | Branch     | State     
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
crate::admission::admission... | AdmissionResult           |                      |                 |                                                                        |            |           
crate::admission::admission... | AdmissionRejection        |                      |                 |                                                                        |            |           
crate::admission::admission... | struct AdmissionGate      |                      | AdmissionGate   | new(current_epoch: Epoch) -> Self                                      | 0.00       | -0.00     
                               |                           |                      |                 | verify(self, judgment_proof: &JudgmentProof) -> AdmissionResult        | 3.00       | -0.00     
crate::admission::replay_pr... | ReplayError               |                      |                 |                                                                        |            |           
crate::admission::replay_pr... | struct ReplayProtection   |                      | ReplayProtec... | new() -> Self                                                          | 0.00       | -0.00     
                               |                           |                      |                 | is_admitted(self, hash: &Hash) -> bool                                 | 0.00       | -0.00     
                               |                           |                      |                 | mark_admitted(self, hash: Hash) -> Result                              | 1.50       | 0.00      
                               |                           |                      |                 | clear(self)                                                            | 0.00       | -0.00     
                               |                           | Default              | Default         | default() -> Self                                                      | 0.00       | -0.00     
crate::commit::commit_delta    |                           |                      | N/A             | commit_delta(log: &TransactionLog, admission: &AdmissionProof, delt... | 0.00       | -0.00     
crate::commit::dag_commit      |                           |                      | N/A             | build_dependency_graph(ops: &Self) -> DependencyGraph                  | 0.00       | 0.00      
crate::commit::dag_commit      |                           |                      | N/A             | apply_ops_unchecked(dag: &mut DependencyGraph, ops: &Self)             | 0.00       | -0.00     
crate::commit::dag_commit      |                           |                      | N/A             | commit_structural_delta(dag: &mut DependencyGraph, ops: &Self) -> R... | 12.80      | -0.00     
crate::commit::dag_commit      |                           |                      | N/A             | commit_rejects_empty_ops()                                             | 0.00       | 0.00      
crate::commit::dag_commit      |                           |                      | N/A             | commit_rejects_invalid_page_reference()                                | 0.00       | 0.00      
crate::commit::page_commit     |                           |                      | N/A             | commit_delta(log: &TransactionLog, admission_proof: &AdmissionProof... | 0.00       | -0.00     
crate::commit::page_commit     |                           |                      | N/A             | base_delta() -> Delta                                                  | 0.00       | -0.00     
crate::commit::page_commit     |                           |                      | N/A             | admission_proof() -> AdmissionProof                                    | 0.00       | -0.00     
crate::commit::page_commit     |                           |                      | N/A             | commit_without_valid_admission_proof_halts()                           | 0.00       | -0.00     
crate::commit::page_commit     |                           |                      | N/A             | commit_with_valid_admission_proof_succeeds()                           | 0.00       | -0.00     
crate::dag::dag_snapshot       |                           |                      | N/A             | write_dag_snapshot(dag: &DependencyGraph, path: Self) -> io::Result    | 9.30       | 0.00      
crate::dag::dag_snapshot       |                           |                      | N/A             | load_dag_snapshot(path: Self) -> io::Result                            | 12.30      | 0.00      
crate::dag::dag_snapshot       |                           |                      | N/A             | edge_type_to_byte(edge_type: crate::dag::EdgeType) -> u8               | 2.00       | -0.00     
crate::dag::dag_snapshot       |                           |                      | N/A             | byte_to_edge_type(byte: u8) -> io::Result                              | 2.32       | -0.00     
crate::dag::dag_snapshot       |                           |                      | N/A             | snapshot_roundtrip()                                                   | 0.00       | -0.00     
crate::dag::dependency_graph   | struct DependencyGraph    | Default              | Default         | default() -> Self                                                      | 0.00       | -0.00     
                               |                           |                      | DependencyGraph | new() -> Self                                                          | 0.00       | -0.00     
                               |                           |                      |                 | version(self) -> u64                                                   | 0.00       | -0.00     
                               |                           |                      |                 | descendants(self, root: PageID) -> HashSet                             | 11.59      | 0.00      
                               |                           |                      |                 | edges(self) -> Vec                                                     | 9.59       | 0.00      
                               |                           |                      |                 | has_edge(self, from: PageID, to: PageID) -> bool                       | 0.00       | -0.00     
                               |                           |                      |                 | contains_page(self, page_id: PageID) -> bool                           | 0.00       | -0.00     
                               |                           |                      |                 | add_edge(self, from: PageID, to: PageID, edge_type: EdgeType)          | 0.00       | -0.00     
                               |                           |                      |                 | remove_edge(self, from: PageID, to: PageID)                            | 1.00       | -0.00     
